kepid,kepoi_name,pp_host_rel_prob,pp_host_prob_score,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_starid,pp_2hi_rel_prob,pp_unk_rel_prob
11391755,K02639.01,1.00000e+00,0.820,KIC 11391755,1.00000e+00,KIC 11391758,8.60000e-06,1.2640000e-04
11393633,K05893.01,1.00000e+00,0.820,KIC 11393633,1.00000e+00,,,1.3620000e-04
11558217,K08227.01,1.00000e+00,0.820,KIC 11558217,1.00000e+00,,,1.7660000e-04
11601972,K05919.01,9.40000e-01,0.820,KIC 11601972,9.40000e-01,KIC 11601963,5.80000e-02,2.2740000e-06
11603298,K05920.01,9.90000e-01,0.820,KIC 11603298,9.90000e-01,UKIRT 44117905209349,1.10000e-02,1.4440000e-04
11649292,K08228.01,1.00000e+00,0.820,KIC 11649292,1.00000e+00,,,4.0460000e-05
11714107,K08063.01,1.00000e+00,0.820,KIC 11714107,1.00000e+00,,,2.3950000e-04
11754430,K03403.01,1.00000e+00,0.820,KIC 11754430,1.00000e+00,UKIRT 44117904680155,4.20000e-08,7.0570000e-05
11760931,K08229.01,1.00000e+00,0.820,KIC 11760931,1.00000e+00,KIC 11760943,1.30000e-05,4.2240000e-05
11854061,K08230.01,1.00000e+00,0.820,KIC 11854061,1.00000e+00,,,3.3720000e-07
11966668,K08071.01,1.00000e+00,0.820,KIC 11966668,1.00000e+00,KIC 11966676,1.10000e-60,7.2820000e-05
12008916,K08074.01,1.00000e+00,0.820,KIC 12008916,1.00000e+00,,,4.9890000e-05
12156805,K05957.01,1.00000e+00,0.820,KIC 12156805,1.00000e+00,KIC 12156806,4.80000e-99,1.7820000e-04
12407623,K04370.01,2.50000e-35,0.820,KIC 12407628,5.10000e-05,KIC 12407623,2.50000e-35,9.9990000e-01
12418418,K05971.01,5.10000e-01,0.820,KIC 12418418,5.10000e-01,hiresKIC 22000869,4.90000e-01,8.0830000e-06
